,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46406,46406,Indian Institute of Technology Kharagpur,Computer Science and Engineering,AI,GEN,Gender-Neutral,319,526,6,5,Bachelor and Master of Technology (Dual Degree),1,West Bengal
46407,46407,Indian Institute of Technology Bhubaneswar,Civil Engineering,AI,GEN,Female-only (including Supernumerary),16138,21674,6,4,Bachelor of Technology,1,Odisha
46408,46408,Indian Institute of Technology Bhubaneswar,Civil Engineering,AI,EWS,Gender-Neutral,1907,2171,6,4,Bachelor of Technology,1,Odisha
46409,46409,Indian Institute of Technology Bhubaneswar,Civil Engineering,AI,EWS,Female-only (including Supernumerary),3334,3334,6,4,Bachelor of Technology,1,Odisha
46410,46410,Indian Institute of Technology Bhubaneswar,Civil Engineering,AI,OBC-NCL,Gender-Neutral,4094,4615,6,4,Bachelor of Technology,1,Odisha
46411,46411,Indian Institute of Technology Bhubaneswar,Civil Engineering,AI,OBC-NCL,Female-only (including Supernumerary),6261,8015,6,4,Bachelor of Technology,1,Odisha
46412,46412,Indian Institute of Technology Bhubaneswar,Civil Engineering,AI,SC,Gender-Neutral,1729,2362,6,4,Bachelor of Technology,1,Odisha
46413,46413,Indian Institute of Technology Bhubaneswar,Civil Engineering,AI,SC,Female-only (including Supernumerary),2464,2464,6,4,Bachelor of Technology,1,Odisha
46414,46414,Indian Institute of Technology Bhubaneswar,Civil Engineering,AI,ST,Gender-Neutral,677,737,6,4,Bachelor of Technology,1,Odisha
46415,46415,Indian Institute of Technology Bhubaneswar,Civil Engineering,AI,ST,Female-only (including Supernumerary),990,990,6,4,Bachelor of Technology,1,Odisha
46416,46416,"Indian Institute of Engineering Science and Technology, Shibpur",Architecture,HS,GEN,Gender-Neutral,209,530,6,5,Bachelor of Architecture,1,West Bengal
46417,46417,Indian Institute of Technology Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,AI,GEN,Female-only (including Supernumerary),18771,18771,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46418,46418,Indian Institute of Technology Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,AI,EWS,Gender-Neutral,1982,1982,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46419,46419,Indian Institute of Technology Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,AI,EWS,Female-only (including Supernumerary),3448,3448,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46420,46420,Indian Institute of Technology Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,AI,OBC-NCL,Gender-Neutral,4717,4961,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46421,46421,Indian Institute of Technology Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,AI,SC,Gender-Neutral,2375,2375,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46422,46422,Indian Institute of Technology Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,AI,SC,Female-only (including Supernumerary),3561,3561,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46423,46423,Indian Institute of Technology Delhi,Electrical Engineering,AI,GEN,Gender-Neutral,358,574,6,4,Bachelor of Technology,1,New Delhi
46424,46424,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,AI,GEN,Female-only (including Supernumerary),22114,22114,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46425,46425,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,AI,EWS,Gender-Neutral,2050,2050,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46426,46426,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,AI,OBC-NCL,Gender-Neutral,4987,5008,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46427,46427,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,AI,OBC-NCL,Female-only (including Supernumerary),9188,9188,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46428,46428,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,AI,SC,Gender-Neutral,2621,2628,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46429,46429,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,AI,ST,Female-only (including Supernumerary),1473,1473,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46430,46430,Indian Institute of Technology Guwahati,Computer Science and Engineering,AI,GEN,Gender-Neutral,415,589,6,4,Bachelor of Technology,1,Assam
46431,46431,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,AI,GEN,Female-only (including Supernumerary),21738,21738,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46432,46432,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,AI,EWS,Gender-Neutral,2186,2186,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46433,46433,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,AI,OBC-NCL,Gender-Neutral,4734,5176,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46434,46434,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,AI,SC,Gender-Neutral,1720,1720,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46435,46435,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,AI,SC,Female-only (including Supernumerary),3584,3673,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46436,46436,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,AI,ST,Gender-Neutral,910,910,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46437,46437,Indian Institute of Technology Hyderabad,Computer Science and Engineering,AI,GEN,Gender-Neutral,368,608,6,4,Bachelor of Technology,1,Telangana
46438,46438,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,GEN,Female-only (including Supernumerary),3119,5436,6,4,Bachelor of Technology,1,Odisha
46439,46439,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OPEN (PwD),Female-only (including Supernumerary),74,74,6,4,Bachelor of Technology,1,Odisha
46440,46440,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,EWS,Gender-Neutral,346,355,6,4,Bachelor of Technology,1,Odisha
46441,46441,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,EWS,Female-only (including Supernumerary),787,787,6,4,Bachelor of Technology,1,Odisha
46442,46442,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,EWS (PwD),Gender-Neutral,21,21,6,4,Bachelor of Technology,1,Odisha
46443,46443,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,657,859,6,4,Bachelor of Technology,1,Odisha
46444,46444,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL,Female-only (including Supernumerary),1208,2212,6,4,Bachelor of Technology,1,Odisha
46445,46445,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,34,34,6,4,Bachelor of Technology,1,Odisha
